,Epoch,Loss,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
0,1,50.03473391978438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9200000062739894,0.9200000040310644,0.9200000032834227,0.9200000029096018,0.9200000026853093,0.9200000023237612,0.9200000021699117,0.9200000020847227,0.920000002030616,0.9200000019932053,0.9200000019657955,0.9200000019448491,0.9200000019283237,0.9200000019151352,0.9200000019064746,0.9200000019040593,0.9200000019038961,0.9200000019016696,0.920000001885275,0.9200000018715965,0.9200000018874366,0.9200000019078328,0.9200000019135206,0.9200000019161217,0.9200000019183397,0.9200000019341087,0.9200000019540573,0.9200000019780128,0.9200000020096544,0.9200000020539573,0.9200000021204197,0.9200000022311821,0.9200000024526442,0.920000003096917,0.9200000071136981,0.9200000872662216,0.9200074571045088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,95.45422607570917,0.8804838769947747,0.8777914196290469,0.8809398771087099,0.8789622899636022,0.8769461420044078,0.875504670589166,0.8744644144208036,0.8737109201157424,0.8731642844289546,0.8727672810400285,0.8724780259074929,0.8722664582126493,0.8721151618135515,0.9315661333747378,0.9315504446331296,0.9315540247790953,0.9315756527219301,0.9316135021581263,0.931665561247853,0.9317314976440819,0.9318119243789185,0.9319066895451509,0.9320069213845461,0.9321022180860129,0.9322088394008123,0.9323353469534243,0.9324848660029491,0.9326645257314536,0.9328896741917894,0.9331940785080002,0.9336757917864381,0.9346336829984974,0.851127781921384,0.8498170944783263,0.8529516273079396,0.869345494941178,0.9287920016310721,1.0070139817202335,1.0062032350747514,0.9739479036483324,0.9397169333083363,0.9099978493427733,0.8851966274613242,0.8640640742099714,0.8454659806943944,0.8289013228988426,0.8150085938525804,0.8040220244649677,0.793740349161031,0.7823961513352699,0.7654263774240068,0.7532081369116305,0.7583587097456458,0.7636017719816677,0.7636697987601099,0.7628693939047383,0.7619437692534208,0.7622643074082162,0.7625455228429558,0.7625732783457913,0.7625688108688551,0.7625672963475548,0.7625653466690122,0.7625611911739554,0.7625567377406163,0.7625502493366032,0.7625299249236418,0.7624828072951526,0.7625944305009849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,10,245.00668322262774,1.0309921439840408,0.8076069341238955,0.82007952438544,0.8080616294766673,0.7950956347225346,0.7852755033089104,0.777609822778955,0.7716457273216398,0.7670435306550485,0.763506707555923,0.7607939244154132,0.7587183887356389,0.7571916888765432,0.8159072863110242,0.8157562119919739,0.8158030495518891,0.8159926758328591,0.8162897011252117,0.8166748017514063,0.8171298755212496,0.8176439039457286,0.8182022975080894,0.8187280588784223,0.8191365568034386,0.819550492908926,0.8200393946984659,0.8206248390515447,0.8213500319233648,0.8223127947826899,0.8237269642055628,0.8261678322489658,0.8311530044760739,0.7572474382821334,0.7771872907686869,0.8165378639072691,0.8954170025344211,1.058360452117258,1.1938532124867516,1.1687695117284367,1.0950207654300612,1.0250142219315668,0.9724443806610328,0.9475530867589306,0.9540301281293861,0.9461768746688315,0.9131433745564079,0.8630367466144684,0.8087955041818795,0.765922570100664,0.7267965092700289,0.6771602277555183,0.6449776325027038,0.659103947460178,0.6700443855980441,0.6693803611748926,0.6669482823242119,0.6644267173168584,0.6651933784351834,0.6657137147330544,0.6657402553424953,0.6657119071148431,0.6656924658599545,0.6656742795952741,0.6656526100409281,0.665627522872347,0.6655863214791091,0.6655011782623262,0.6653388241941388,0.6656307664460068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,15,264.859761982423,1.3646113611462634,0.8143735355168695,0.8023245776648423,0.7800266249539187,0.7585627463712331,0.742349380776435,0.729414485321412,0.7191487385885735,0.7111210851246301,0.7048872791484059,0.7000640972922167,0.696345633979767,0.6935937402975387,0.7516370226768023,0.7513792968911182,0.7514860802900688,0.7518551825915363,0.7524317253742817,0.7531970125004342,0.7541266101562761,0.7552011459019982,0.7563831200210215,0.7575209173432427,0.7584734466630224,0.7594660239689973,0.7606217785637975,0.7619781253785262,0.7636171667834891,0.7657550502928586,0.7688828428971931,0.7742805409448625,0.785176586094941,0.7253392965275903,0.7744950005597183,0.8540203715351321,0.9658402896229769,1.1258689080530384,1.2320926920395352,1.1560139297290042,1.03854345233657,0.9515615502638869,0.9076081841215154,0.9313765541579931,1.04488363403251,1.100401997019401,1.0763431249618964,1.0044857220465555,0.915945043914048,0.8490296626606685,0.7615237249075419,0.6407214241589434,0.5761174367081999,0.6045386902462373,0.6207410365587974,0.6183731186259778,0.6135112588871353,0.6088471379180834,0.6100649166921019,0.610707985120723,0.6106983703532839,0.6106290137116092,0.6105781000600918,0.6105335652581443,0.6104873822767876,0.6104366061736703,0.6103585713290356,0.6102187187078641,0.6099696012070582,0.6103826554588179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,20,256.3613450295227,1.7224821144982456,0.8675604949108262,0.7988101806936285,0.7664296106258697,0.739023827487908,0.7185451248016923,0.7020428998326607,0.6888070065930343,0.6783911453002708,0.6702656027482528,0.6639551346790301,0.6590734206479023,0.6554484814969928,0.7130074977227783,0.7126821805348466,0.7128464036381341,0.7133656911392605,0.7141777144722671,0.7152764170254916,0.7166433429615391,0.718258680971343,0.720064763140625,0.7218498522934672,0.7234455431232124,0.7251763892709708,0.7272179776334305,0.7296259252638908,0.7325073754007272,0.7361686864924448,0.7413244409506523,0.7499403467535352,0.7672847604232477,0.7236660176139638,0.8086799383182216,0.9342640431276625,1.0578292273502583,1.1551455569889506,1.2142171387651697,1.1149929032955819,1.0087560012101386,0.9586291833863139,0.9296206038262967,0.9141277004622388,0.9822173174080241,1.0342011354375094,1.016085880260408,0.9599947799036654,0.9623155676316406,1.0368504259809859,0.9428839582883036,0.6710923637802273,0.5287692750907651,0.5748430523733474,0.5958913834377497,0.5906775162538634,0.582457998170992,0.5750151413427685,0.5766967345904657,0.5773856381763645,0.5773142109791602,0.5771893401931519,0.5770950487783143,0.5770154470981615,0.576939309250247,0.5768608789746544,0.576749420235951,0.57656774564402,0.576258706075405,0.5767495683185963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,25,248.62642125796722,2.0606175341200053,0.94910036349857,0.8027056123198518,0.7600740190879962,0.7283213359891073,0.704940525443924,0.6860164649982108,0.6707417227995038,0.6586805112123977,0.6492503877338801,0.6419135282152185,0.6362274401295092,0.6319956812056806,0.6892157422918537,0.6888502946033361,0.6890671286666737,0.6897116447435097,0.69072231579248,0.6921134792570304,0.6938805739993339,0.6960112657690907,0.698437132025549,0.7009047673731432,0.7032360358385,0.7058451868525631,0.7089570206384227,0.7126414685960103,0.7170199454933944,0.7224757806283054,0.7299096290789255,0.7420920281932785,0.7666397485208827,0.740063638021528,0.8552056867954174,1.0107422469654936,1.1321961667013098,1.1715655317559688,1.188804055571792,1.0726619232989718,0.9955447134742136,1.006072949998467,1.0194274137345305,1.0088939711487275,1.0195874221176675,1.0164944738564323,0.9747602858038411,0.9129455733080831,0.955679618068372,1.1274489257962443,1.0674866803008574,0.7614606297358113,0.5128537886866678,0.5654451048004454,0.5882282575718913,0.5776603807922557,0.5649140266601218,0.5539637815330567,0.5561295754315213,0.5568064787782648,0.5566509435913282,0.5564581720780382,0.5563119193076617,0.556192016759685,0.5560832731671331,0.5559766543827878,0.5558346615096857,0.5556199261156236,0.5552691275559531,0.5558101403627252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,30,246.32918263250824,2.3675245552743864,1.046102953673831,0.8111630498279854,0.7578760924163879,0.7227404974349851,0.6973096169052482,0.6767011530626976,0.6599992847675331,0.6467865917999931,0.6364465786039286,0.6283963692867716,0.6221517674747588,0.6174969559900516,0.6744794372150084,0.6740927891407371,0.6743591160284832,0.6751130771048965,0.6763000574821834,0.6779602628529683,0.6801069431686334,0.6827424682089559,0.6858022325188537,0.6890157589011825,0.6922162189525581,0.6958931001490287,0.7003005375343114,0.7054986207348725,0.7116099103436004,0.7190782601654294,0.7288486026561019,0.7445605026313183,0.7762631803014615,0.7662194749141884,0.903921950416304,1.073973147718037,1.1740217367593402,1.1489156621804475,1.1262882699484387,0.9997063778692881,0.9570425184195311,1.0269422023374242,1.0789179005485947,1.0763019843190225,1.0431397538039033,0.9969714229828162,0.9535409305455479,0.8920935659833353,0.8879735021622783,1.0895907935891265,1.078942990307792,0.8691541105385355,0.5392890733716136,0.5796182158339227,0.595957108924205,0.5750006530398384,0.5562055024847951,0.5408069891284238,0.5434906499408944,0.5440996256450118,0.5438300273337708,0.5435513650263821,0.5433427848026516,0.5431775672476512,0.543034396422132,0.542899458226697,0.5427288479012803,0.5424865866387534,0.5421058132015529,0.5426795066022699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,35,238.03382003491973,2.566845828808685,1.1175831225048243,0.8212448146764662,0.7584945089797551,0.7204014346685231,0.6933340336371611,0.6714850563409668,0.6537540433958852,0.6397147043647106,0.6287241619947639,0.6201672619398644,0.6135278256809913,0.6085733956236021,0.6653871816369336,0.6649930746182305,0.6653088047341151,0.6661656827398528,0.6675206338614079,0.6694431781524409,0.6719637197688029,0.675103882260186,0.6788177177349419,0.6828431637312908,0.6870472133816452,0.6919781699310268,0.6978932061557624,0.7048144144183488,0.7128416731809425,0.7224670889818541,0.7345302619167063,0.7536012515311993,0.7922556643835813,0.798200931764328,0.9551878066879399,1.1359527857279887,1.2212818256633955,1.1525336719301367,1.1046902586072094,0.9826153916192436,0.957153676028391,1.040621715853845,1.0889072860332019,1.055732487429433,0.9999262896013715,0.980915661042311,0.9999137433776161,0.9961203708697751,0.9102278249541502,1.042023059618735,1.046692423581839,0.9139906343870451,0.5629582747932161,0.6136781956735818,0.6153944782943089,0.57935307143083,0.5532905647611016,0.5326179207346207,0.5358608458300128,0.5363536753023964,0.5359377674864699,0.5355525977534001,0.5352704641135271,0.5350549137311672,0.5348755985576695,0.5347120558313382,0.5345140295690157,0.5342475188876151,0.5338442199822999,0.5344397696875669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,40,230.74705666428335,2.4411140778592464,1.0483894208593636,0.8270147854933346,0.7620473507530623,0.7206295230044739,0.6917080372563975,0.6687905844309231,0.6502930863760935,0.6356493465000012,0.6241792625406853,0.6152498499390479,0.6083223829050675,0.6031497452455878,0.6598410376637511,0.6594503758391419,0.6598191985561099,0.6607823635884055,0.6623135879322514,0.6645166607914548,0.6674393994228829,0.6711282687552698,0.6755699089060534,0.6805291742667678,0.6859131699839001,0.6923019177047729,0.6999252483550944,0.7087222993992108,0.7186943862019762,0.7303997495148116,0.7445928397339513,0.7670070405720626,0.812330538233112,0.8315659623798253,1.0006010452148812,1.183438796816173,1.253503056153525,1.150534865669795,1.0924101614881425,0.9927480670643258,0.9831837358047673,1.0630521288288288,1.0921871747760985,1.017897343805734,0.9517267958152725,0.9629513453593025,1.0228338888203417,1.0541216486049465,0.8860486319571945,0.9548424101057594,0.963613766442139,0.8937885246893131,0.5683872740308142,0.6774326261708006,0.6503605583556736,0.5895685933759064,0.5544478643336753,0.5276132839890391,0.5314500219666487,0.5317767253243616,0.5311777776501583,0.5306625065719859,0.5302933322148433,0.5300201533308596,0.5298007371774137,0.5296063090406595,0.5293805408542757,0.5290911555762448,0.5286697234738934,0.52928053097448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,45,226.46633952133863,2.4065656925438432,1.0375217556123693,0.8366609649249558,0.7661830645304126,0.7218647354801295,0.6914717913116998,0.6677093275967759,0.648598083886017,0.6334738370059123,0.6216289408695929,0.612413697620778,0.6052681252335893,0.5999305754050136,0.6565301100141405,0.6561525181552096,0.6565821597417869,0.6576645105620623,0.6593958894549484,0.6619207459562619,0.6653065549153048,0.6696323343179067,0.6749303963336644,0.6810013652068954,0.6877784483259003,0.6958372374844907,0.7053428612527601,0.7160944319214722,0.7279155147001707,0.7415539044348847,0.7577841935156069,0.7834353866260637,0.8347545606307825,0.8642311446201644,1.037572654520194,1.2133913422037967,1.2601079803831992,1.1133647669326983,1.0455635167754675,0.9746131912094879,0.9900915769382249,1.0746980526629584,1.091789558969097,1.0074197496318127,0.9812895282803343,0.9796521540055974,1.02519419260808,1.0731633853932228,0.8889693483986209,0.9225645599474116,0.913130585182915,0.8679355086555759,0.5568647195488962,0.7441810311214468,0.6902641690552357,0.6032270747969051,0.5582863995063259,0.5246040734562551,0.5290768640909098,0.5292019734366409,0.528393050116589,0.5277315940796586,0.5272665061155283,0.5269307477555218,0.5266682410465259,0.5264410355368204,0.5261873602515257,0.5258759998014634,0.5254390757234053,0.5260612623978769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
