,Epoch,Loss,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
0,1,7.775252952926241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9200000062739894,0.9200000040310644,0.9200000032835116,0.9200000029139787,0.9200000027324441,0.9200000025978199,0.9200000025901808,0.9200000025585283,0.9200000023559161,0.9200000022116224,0.9200000024386911,0.9200000029722939,0.9200000035178454,0.9200000045688798,0.9200000069235112,0.9200000803527678,0.9200074571045088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,8.68522764944883,1.0,1.0,1.0,1.0,1.0,1.0,0.9563629704575508,0.9563611980720511,0.9563610181234522,0.9563609810085942,0.956360969969087,0.9563609658959379,0.9563609641579472,0.9563609633346957,0.9563609629076196,1.0028511262371111,1.0028871139555096,1.0029796831864717,1.0031737797328466,1.0035208165584144,1.0040865484212467,1.0049786968506211,1.0064908931942822,1.009765505127059,0.9676060574268963,0.994190374429492,1.028060486667157,1.0327183607407082,1.0112378096870773,0.9707759072207014,0.9305411458464226,0.9036051138903555,0.8884906461734318,0.9421328152473974,0.9397697103513405,0.9385410242711898,0.9382949221771408,0.9393053510328732,0.9420910611866177,0.9476012315116403,0.959015092214891,0.9915948634780747,0.9562552950468693,1.0461481270559672,1.0140466636313339,0.9721620913875121,0.9419500641652273,0.9131011576417009,0.897322184943312,0.865874228210863,0.7863581473092954,0.7277484680025412,0.7418029140560777,0.765531491293564,0.7684624918470224,0.7663813744072174,0.7579269949305389,0.755355645902786,0.7612250265323546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,10,7.4522744425978855,0.8136279705330647,0.7989257539379911,0.9600533051183275,0.9704762851793743,0.9768306551345441,0.9887890262996137,0.958576557813456,0.9703230732493545,0.9800944379521187,0.989472160492585,0.9977054596952224,1.0015843957601207,1.039528983126913,1.0306187066902908,0.9773982944527717,0.9883449524278018,0.9748635959510954,0.9663445793513534,0.9588194227016121,0.9520802378957478,0.9453256732592266,0.9376534710931702,0.931506913309666,0.9351796773269299,0.9107364588307193,0.9751333463488124,1.0554033801142082,1.0733976117767008,1.0673764762724682,1.071195177735244,1.071450150114763,1.0235068176660995,0.9498689453079214,0.9645230205021996,0.9468539651755377,0.9382087150467657,0.9319609049148904,0.9268407234806642,0.9224389550024595,0.9204666478483154,0.9323571289566837,1.0033593395426839,1.0386349583425454,1.1660219641563043,1.0953912423651266,1.0379642953108101,1.0175415422099907,0.9891611286126515,0.9853535687765976,0.9536104173702408,0.7636380832022532,0.5934208946623988,0.640579304220727,0.697978505122686,0.7030332458867194,0.6917193100718492,0.6536930262648084,0.6504526831834235,0.6640233319323119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,15,2.207364530616135,0.751359674907476,0.7468803386659467,0.8739373901586265,0.8901927843504277,0.9009136705110443,0.9204814779132507,0.9000319041276025,0.918835279954048,0.9299152826761342,0.9330801257531073,0.9339415366673138,0.9454442082415233,1.0390752219291794,1.0677957797824453,1.0128424293454854,1.0235364307401913,1.018334830991727,1.0148746885505888,1.0091448917593886,1.0053606550519802,1.0041417840659206,1.0015934457519138,0.9976204591137169,1.0014599265168054,0.9822278959595037,0.9813809384827362,0.950679834178736,0.9276401874245876,0.9172731408446753,0.9704965103316872,1.0972642637135137,1.1245276261117423,1.0486249615742769,1.043439882663667,1.014957131415997,1.002879859337922,0.9923294026517413,0.9806469232221444,0.9655487565743058,0.9444170711499076,0.930443773402028,0.987434901517457,0.9784807622330929,1.068206843285877,0.9718536567739288,0.9315877935553972,0.9610073841660401,0.9630317437800866,0.9969065651739877,1.0306563874963643,0.7984889475436423,0.5245873023216359,0.6122665434444271,0.6972839077825609,0.7003675208149982,0.6731271150046757,0.5905724329616442,0.58944525986751,0.6094723061713117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,20,1.4196842233144673,0.8542918319327666,0.8345057881151122,0.9202674443633384,0.97393389858482,1.0069131125176463,1.0430832743519274,1.0326685798283233,1.0509098211013101,1.0544462037864486,1.0380909044531197,0.9993003623766912,0.9613614960904618,1.0084277561508532,1.020548398592985,0.9619330471448431,0.9777538412706306,0.9828078622500076,0.9870452930704854,0.9867559282276128,0.9936108511045345,1.0122690941771715,1.0313320430537936,1.0460265302504725,1.0554573843600357,1.0423475069068,1.010814497249221,0.9448007355931881,0.9057039705538162,0.8574419155805283,0.8595911392296359,1.008394318029599,1.1073245159416334,1.0599235380631225,1.0588267544958039,1.0309043247665235,1.0215874391236157,1.0127520229812699,1.0019696535599738,0.9882710559702982,0.9708033269060936,0.958897218221868,1.0191431436955254,0.9929467770357832,1.0482052280594376,0.9353307894863473,0.9118371274846347,0.9729969380629326,0.9871596191544008,1.0375233911561534,1.1062348921937109,0.8483965689974353,0.4989115730134449,0.6233782636362603,0.7334871839022735,0.7329985906327368,0.6858832747233826,0.5483791450660771,0.5514571639765657,0.5770070105353254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,25,0.8974455159558142,1.0227235511690054,0.8689562690986059,0.941697274900409,0.9876805124530177,0.9929514752433171,1.0272343687550491,1.0223157328612804,1.0349323754387074,1.027593730190027,1.010126324869774,0.9752423092553241,0.9276993583598888,0.9529555139601211,0.972916608892627,0.936407089250092,0.9594430552632648,0.9667923750739925,0.9731899797686292,0.9739432782782149,0.9837664766382107,1.0109844909362249,1.0375943888517534,1.0523716094694884,1.049374898657301,1.0240343682369,0.9674783628566843,0.9883224114528456,1.0245261124934364,0.97202811913349,0.8802523683259265,0.923728419720115,1.0559108540781939,1.0343340234887668,1.0405913345031006,1.0156965914535399,1.009801828767362,1.0034702853079644,0.9951182802999229,0.9850308484089927,0.9760383082688734,0.9807599293397716,1.051157535177171,1.0186941766573534,1.05107813495546,0.93607292034838,0.9299422156091102,1.0056975261288026,1.0169762691865951,1.0682219210667887,1.157710358480613,0.8947843161766592,0.5028939797443556,0.6580607016147044,0.7902217495697588,0.7864985765673507,0.7193039041686574,0.5184882769081419,0.5272737412283054,0.5576362480247454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,30,0.2240471833620183,1.1619305142453935,0.8783979372748884,0.948485781979372,0.980519419791202,0.958577662405846,0.9901226966440211,0.9915581340765108,1.0050449875299603,1.0007913029686728,1.0072530461345686,1.0141172419798241,0.988114618980523,0.9965306733400155,1.0078085401066252,0.9803683258257029,0.9988589803836968,0.9987336603653958,0.9998618959507735,0.9941257206378354,0.9957620749532738,1.015775657988821,1.0338595127398749,1.0373567245212993,1.017922871756941,0.9818891060917109,0.9035283703596355,0.9857334551539847,1.0914172982153747,1.074562370803104,0.9683815279972078,0.9021566026236852,1.0259541151124478,1.0173042679684903,1.0278102563066323,1.0047680111657171,1.0008733341360263,0.9961206001777,0.9894019440586341,0.9816405288917978,0.9775893059146707,0.9877737321336154,1.060061784058642,1.0172551674601336,1.036917140787876,0.9312601314335553,0.9354374658860677,1.005696036599594,0.993142181504713,1.0211214493955707,1.1349524093467305,0.9152015121340593,0.5311929722075605,0.7050819691171577,0.85312962166331,0.8469634688907158,0.7631601439888525,0.49705663002651684,0.5121322869014986,0.5465642606277418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,35,0.291014525794914,1.2492080124923004,0.8971752146027895,0.9556173359634541,0.9777761506667273,0.9387526571767899,0.9686742000217435,0.9740805183622593,0.987468073293541,0.9844628769055495,1.0054876031430802,1.0400369597141434,1.029363845797473,1.0251039593620004,1.028423060410918,1.0062576118971052,1.0213088280504479,1.0161929950669182,1.0142023828675755,1.0038628180961693,0.9975890763411037,1.0098461484407424,1.0183914621396966,1.0117249901080265,0.9816416511589207,0.954568476732266,0.8981407753077265,0.9604104772545453,1.0880924215291436,1.103523836533779,1.026745864450162,0.907716186077701,1.0095637364218708,1.005617970391343,1.0186783195101121,0.9969457008031449,0.9943826715462861,0.9912756098952196,0.986404230198938,0.9803230315075007,0.9790411264802369,0.9899865015249093,1.0605581829756205,1.0085133596577025,1.0232523573708956,0.9335200869667223,0.9452048278782529,1.0052954295715315,0.9705829805484515,0.9760330610552448,1.106855433207197,0.9280489114589473,0.5596959035193454,0.749989476937408,0.9108010397174452,0.9034982664887828,0.8076707461769252,0.48200339662462804,0.5032079429491386,0.5409770134160165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,40,0.10593820710236178,1.3040468138299095,0.9290763108598766,0.9669464424441255,0.9815988897731329,0.9321152813608793,0.9600386266809792,0.9654708041092184,0.9730851953579852,0.9616799660881055,0.9780092722056131,1.018890364623876,1.015364081231813,1.000473336874389,1.0023784715435375,0.9896175283659486,1.0067719352440365,1.0026374968748322,1.0042925256471293,0.9950057167822192,0.9876716970024547,0.9976418628725806,1.000944602769835,0.9891975968290164,0.9581620905949836,0.9632496366549061,0.9689146640307075,0.9489182277467035,1.0473930594692669,1.080592816535662,1.047166720187826,0.9218575850719002,1.0022046556516095,0.9979754144937953,1.0122714998834181,0.991408317548457,0.9897566578203167,0.9885679520628363,0.9862446742117869,0.9817005560164045,0.9824256386513215,0.9925480777831924,1.0611991875155766,1.0039873208694625,1.0183503003507952,0.9452613567348602,0.9623655733510198,1.0129275279713037,0.9629540107580884,0.9533470049781332,1.0926072418731763,0.9399225063300335,0.5817759845994458,0.7863528281246221,0.957360252668603,0.9497208657720559,0.8460175346135451,0.47194415708537285,0.4987788177180073,0.5391251696928773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,45,0.033854895766642745,1.3396721612764948,0.9735439507800332,0.9886259390757914,1.0019691591724946,0.9519196920439864,0.9789249525245346,0.9832285435246104,0.9868332341122098,0.9700408679741498,0.9828078795512755,1.0254908594808474,1.023549913093026,0.9985876305068443,0.9924546116408374,0.9806817542404775,0.9980894888880307,0.9952394004851091,1.002037922453508,0.9948769081235918,0.9873296117711929,0.9960748322334718,0.9967806149410953,0.9837735951126508,0.9580330128728696,0.9921886116506707,1.050124758613726,0.9600049097414433,1.0121204984300571,1.048271222188272,1.0515530062409812,0.9403850847768173,1.0023313249821857,0.9949689663459549,1.009468834507348,0.9890912377667263,0.9880484884656526,0.9883039645361731,0.9879497052614026,0.9846483068746571,0.9869723753240255,0.9950894037363851,1.0617249626898286,1.0022898616019118,1.0183953831548755,0.9586991379655082,0.979102661039052,1.0226318020780103,0.9637541478302171,0.9446202370696837,1.0865840418466988,0.9495605958538943,0.5956550620680244,0.8125813296602946,0.9909137870852843,0.9829801750248882,0.8746353570385271,0.4656889379339379,0.49772489856869395,0.5398633780426548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
