,Epoch,Loss,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
0,1,8.736239272950833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9200000057805459,0.9200000037843427,0.9200000031190206,0.9200000027901363,0.9200000026285706,0.920000002508755,0.9200000025019562,0.9200000024737855,0.9200000022934606,0.9200000021650392,0.9200000023671304,0.9200000028420369,0.9200000033275777,0.9200000042629983,0.9200000063586204,0.9200000717106662,0.920006637087727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,9.758703613142444,1.0,1.0,1.0,1.0,1.0,1.0,0.9563627495190247,0.956361172136332,0.95636101198523,0.9563609789535069,0.9563609691284658,0.9563609655034003,0.9563609639566026,0.9563609632239145,0.9563609628438194,1.0028515918138592,1.00288715944741,1.0029796948097942,1.0031737836844299,1.0035208173700823,1.0040865469540237,1.0049786929820945,1.006490886429643,1.009765495181915,0.9676059415878729,0.9941904518380954,1.0280605452157061,1.032718313345584,1.0112376651417827,0.9707757168708901,0.9305410021353372,0.9036050307153736,0.8884906021601197,0.9421330162281849,0.9397697071605012,0.9385410109768358,0.9382949082109698,0.9393053359852958,0.9420910422825647,0.9476012040180026,0.9590150450608212,0.9915947546614966,0.9562551054593567,1.0461481352458157,1.014046676584429,0.9721621029999294,0.9419500738125288,0.913101165352828,0.8973221907732781,0.8658742319237155,0.7863581485949162,0.7277484677476955,0.7418029137336167,0.7655314909172856,0.768462491317882,0.7663813735433739,0.757926993293087,0.7553556197502556,0.7612225859498332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,10,8.373379238243487,0.8136107145016568,0.7989245243595873,0.9600535149259635,0.9704762854187661,0.9768307194785582,0.9887892331733119,0.9585766399481384,0.970323417637307,0.9800948522856645,0.9894726631112447,0.9977060953063422,1.0015851679465178,1.0395295781968283,1.0306182247682796,0.9773977612176159,0.9883449563948747,0.9748633189490881,0.9663443362770501,0.9588192081687129,0.9520800386795187,0.9453254826759648,0.9376532960509787,0.9315067661669446,0.9351795698723012,0.9107363435121332,0.9751337558573409,1.0554037150741844,1.0733977241362498,1.0673765313867654,1.0711952305035977,1.0714500461888448,1.0235066068651988,0.9498687217309819,0.9645230382516597,0.9468538398114451,0.9382086098823036,0.9319608148201571,0.9268406453956543,0.9224388875419584,0.9204665937129528,0.9323570726252658,1.0033592065676795,1.0386348334615867,1.1660222128136701,1.0953914171141685,1.0379643868428017,1.0175415954706721,0.9891611741605492,0.9853535951051091,0.9536104376841641,0.7636381009450912,0.5934208892057529,0.6405793084113568,0.6979785058962781,0.7030332453656731,0.6917193092805388,0.653693024029118,0.6504526459771053,0.6640199002325258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,15,2.4801798809032287,0.7513467337229252,0.7468803063924994,0.8739372952249059,0.8901923531155931,0.9009133243666178,0.9204813618353651,0.9000317403747824,0.9188353180176437,0.9299151254616609,0.9330797546751036,0.9339414495708686,0.9454448477829422,1.0390760979684233,1.0677953436618963,1.0128421329828527,1.0235366925692724,1.018334860880247,1.0148747912501555,1.0091450977464063,1.0053609689713952,1.0041421349360833,1.0015936844618911,0.9976204685037657,1.0014598924575118,0.9822279106332429,0.98138129123158,0.9506799434064253,0.9276401097189841,0.9172731169224885,0.9704967545542026,1.0972644806727423,1.1245275557958474,1.0486247531160584,1.0434398567145895,1.0149570106592225,1.0028797923508728,0.9923293488056767,0.9806468887930477,0.9655487454121967,0.9444170947809618,0.930443813103371,0.9874348720621818,0.9784807321005272,1.0682071285067605,0.9718537476134037,0.9315877228191821,0.9610072742052794,0.9630316737556169,0.9969064741885341,1.0306563577351326,0.7984889970700518,0.5245872834467616,0.6122665683015315,0.6972839147767412,0.7003675215913064,0.6731271151086196,0.590572430427402,0.5894452162659753,0.6094683185665183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,20,1.5951574557636523,0.8542901395649034,0.8345083620746119,0.9202676175595617,0.9739339661077094,1.0069134339673396,1.0430838777872846,1.0326691038752998,1.0509103840532426,1.0544462250284,1.0380901725638059,0.9992994700960929,0.9613614872923483,1.0084285274624438,1.020548217119822,0.9619332183336724,0.9777545798122397,0.9828083634688567,0.9870458776536093,0.9867566565738382,0.9936117374847356,1.012269984774509,1.0313325875885044,1.046026418536229,1.0554569905349573,1.0423469966611385,1.0108139234477653,0.944800348705082,0.9057036704065848,0.8574416660839276,0.8595912702685657,1.0083947646219649,1.1073246500191034,1.0599234550518746,1.0588267913983909,1.030904277891769,1.0215874539942893,1.0127520301152746,1.0019696630161392,0.9882710686846107,0.9708033706748864,0.9588972703512028,1.0191431297048723,0.992946776679688,1.0482055020171612,0.9353308028397801,0.9118369514860586,0.9729967404820575,0.9871594936419935,1.0375232487601387,1.1062348460814866,0.8483966381418955,0.49891154716842456,0.6233782998124969,0.733487193951126,0.732998590703873,0.6858832728444411,0.5483791418843055,0.5514571161445133,0.5770026925285219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,25,1.0083635444097394,1.0227306390587452,0.8689591802241157,0.9416975784547772,0.9876805144869344,0.9929516229096688,1.027234827935791,1.022316077325966,1.0349325817080468,1.0275934225334602,1.0101254475529982,0.9752409932562035,0.9276986424739269,0.9529556965294149,0.9729161320358789,0.9364071126246557,0.9594435555910936,0.9667926133965499,0.9731903186341632,0.9739437676646567,0.9837671146658858,1.0109851457054728,1.0375946707703225,1.0523711300806196,1.0493742714313403,1.0240337426234298,0.967477822028671,0.9883232631426765,1.024526360386498,0.9720277869920665,0.8802521610793386,0.9237289201344089,1.0559111210383214,1.0343340032065955,1.0405913719113187,1.0156965364944583,1.0098018289620874,1.0034702552528105,0.995118235759363,0.9850307862586059,0.9760382879355322,0.9807599630187335,1.0511575141346394,1.0186941862884529,1.0510784040022756,0.9360729310885123,0.9299420773008168,1.0056973854991864,1.0169762280980486,1.0682218889563402,1.1577104039084367,0.8947844140823552,0.5028939371815486,0.6580607386407977,0.7902217608918352,0.7864985766316395,0.7193038986661275,0.5184882721605931,0.5272736902953735,0.5576317340985539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,30,0.2517387560574271,1.161943218334803,0.8784004160057219,0.9484861552893916,0.9805193910301864,0.9585777966532066,0.9901232499567375,0.9915586586006917,1.0050454476874662,1.000791658226804,1.007253453042248,1.0141172601949175,0.9881146136818292,0.9965310011692065,1.0078081186301033,0.9803682819463126,0.9988592241619713,0.9987335864255414,0.9998618682928667,0.9941257401438782,0.9957621572967349,1.0157757793283806,1.0338594348847943,1.0373560984036057,1.0179224508296871,0.9818888031336342,0.9035279269288006,0.9857351125783167,1.0914178759893791,1.0745620188106761,0.9683810091560293,0.9021569263179868,1.0259544275736763,1.0173042707218631,1.0278102771361148,1.0047679356426287,1.000873313883369,0.9961205396011792,0.98940186012645,0.9816404151959741,0.9775892408108847,0.9877737574781109,1.0600617579028055,1.0172551514548858,1.0369173689871296,0.9312601486979278,0.935437404480863,1.0056959729546668,0.9931422263094587,1.021121511497037,1.134952508834743,0.9152015955260717,0.5311929144002525,0.7050820038584787,0.8531296327951744,0.8469634695093022,0.76316013487216,0.49705662376384585,0.512132234158478,0.546559637517912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,35,0.3269840193164914,1.2492242129319318,0.8971767868344712,0.9556175817891752,0.9777759913404797,0.9387526853300333,0.9686746960331655,0.9740809690376885,0.9874684052324978,0.9844632723539196,1.0054883730085764,1.0400373975911625,1.0293639168532054,1.0251040661265245,1.0284225134157183,1.0062574315596535,1.0213088592002566,1.0161927207716233,1.0142021703317132,1.003862615279707,0.9975889018665622,1.0098460641304718,1.0183913611036026,1.0117245392416756,0.9816415899111787,0.9545685228904927,0.898139971212971,0.960411765380715,1.0880928072464495,1.1035233734843577,1.026745256506818,0.9077162398215061,1.0095639982766373,1.0056179515264771,1.018678305485185,0.9969455938932917,0.994382622271145,0.9912755379146713,0.9864041288841742,0.9803228941721739,0.9790410398471991,0.9899865235816077,1.0605581523941214,1.0085133059860798,1.0232525234266432,0.9335200817793822,0.9452047989173515,1.0052953776095197,0.9705830107943046,0.9760330759087741,1.1068554668664012,0.928048944993087,0.5596958501500674,0.7499895121605955,0.9108010479905595,0.9034982638773353,0.8076707312886313,0.4820033898306204,0.5032078897752921,0.5409723406498853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,40,0.11903159263145255,1.304065108252619,0.9290768517823855,0.9669464280381247,0.981598544175408,0.9321151612608635,0.9600389543733993,0.9654709108319476,0.9730849093297705,0.9616796238889209,0.9780093733141543,1.0188903648285528,1.0153637353713214,1.0004730606590637,1.0023778599612905,0.9896173343547131,1.0067719474302317,1.0026373112852212,1.0042924951326238,0.9950057312120519,0.9876717545489018,0.9976420100062748,1.0009448156905587,0.9891975273030184,0.9581624180101386,0.9632501012754725,0.968914052636294,0.9489189156799316,1.0473933721362152,1.0805925024833776,1.0471663267641556,0.9218574991525097,1.0022048818001439,0.9979753910245277,1.0122714766605325,0.9914082038976627,0.9897566041572733,0.9885679056534358,0.9862445803871358,0.9817004244009377,0.982425553299741,0.9925481117028504,1.0611991748248293,1.0039872678450317,1.0183504385864042,0.9452613444509043,0.9623655747010754,1.0129274898733704,0.9629540313369707,0.9533469833088691,1.092607226825684,0.9399225048059285,0.5817759361682866,0.7863528628763433,0.9573602590834533,0.949720861230169,0.8460175163129893,0.4719441499498384,0.49877876474503346,0.5391204907125167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,45,0.03803906746209875,1.3396915452913989,0.9735440212142474,0.9886258892466802,1.001968965726863,0.9519198857253295,0.9789256152456488,0.9832288840077593,0.9868330387575539,0.9700405562506954,0.9828080518360626,1.0254910318428878,1.023549720917403,0.9985875203968824,0.9924542444630031,0.9806817065579708,0.998089567359981,0.9952393167933894,1.0020379909922255,0.9948769957224023,0.9873297311942273,0.996075018760359,0.9967808888624963,0.9837735826268025,0.9580332725038,0.9921889527391606,1.05012397364246,0.9600047156212144,1.01212067753625,1.0482710736140186,1.0515528795027844,0.9403849620557514,1.0023315433864834,0.9949689578759107,1.0094688257739255,0.9890911393553933,0.9880484516993809,0.9883039565880278,0.9879496343668835,0.984648199170464,0.9869723058332112,0.9950894552056921,1.061724975195871,1.0022898252571266,1.0183955122831694,0.9586991256261439,0.979102685317087,1.0226317768984579,0.9637541652211172,0.9446201941033183,1.0865839972270583,0.9495605732630666,0.5956550203324319,0.8125813649559082,0.9909137942092177,0.9829801717581825,0.8746353394225982,0.46568893041371756,0.49772484605107253,0.5398587263921824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
